TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Beta_AF8,Beta_TP9
11:26.7,0.6696663,-0.032702442,0.11483567,0.8372875,-0.008133074,-0.07163434,-0.22699216,0.6122839,0.47948128,-0.22104555,0.36525214,0.24509187,0.6481635,0.25628772,-0.15650031,0.5607674,0.4006519,0.30514184,-0.13007516,-0.18338355,788.93774,803.8461,805.05493,818.7546,805.05493,0.049804688,0.030944824,0.973632813,-0.762634277,-1.757049561,0.403747559,1,1,1,1,1,97,,-0.15650031,0.6481635
11:27.7,-0.20055796,-0.022145886,0.05957889,0.8372875,0.1622545,-0.04333641,-0.19510491,0.6122839,0.39611867,0.07404558,0.38088617,0.24509187,0.8097353,0.31210104,-0.026227832,0.5607674,0.48150733,0.26510486,-0.13609284,-0.18338355,799.41394,794.9817,794.17584,800.6227,866.7033,0.062011719,0.026367188,0.976867676,0.13458252,-1.943969727,-0.284118652,1,1,1,1,1,97,,-0.026227832,0.8097353
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:28.7,0.0629088,0.15320848,0.0768632,0.5698837,0.19391581,-0.033844043,-0.086889654,0.71801,1.0960933,0.11947017,0.025313012,0.7290731,0.75648475,0.21086408,-0.22949815,0.42406648,0.5717454,0.16039766,-0.25188068,0.07084208,815.9341,803.44324,799.41394,802.23444,842.9304,0.062072754,0.032348633,0.982788086,0.074768066,-1.906585693,-1.114044189,1,1,1,1,1,97,,-0.22949815,0.75648475
11:29.7,0.26322776,0.2800273,0.19856165,0.5191663,0.29615065,0.18549143,0.07022306,0.6920814,1.0795135,0.27079025,0.21136528,0.67389446,0.77958024,0.24133554,0.22153,0.44778958,0.68322307,0.28680855,-0.04767347,0.08932144,801.4286,793.36993,795.78754,794.9817,674.90845,0.062255859,0.030700684,0.9765625,0.321502686,-2.265472412,-0.306549072,1,1,1,1,1,97,,0.22153,0.77958024
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
11:30.8,0.7822955,0.18714726,0.064686865,0.86490434,0.69915515,-0.1760906,0.12811323,0.92826784,0.16022426,0.46149212,0.7651319,0.58789873,0.7690132,0.24190828,0.14195149,0.4605787,0.41082948,0.21598195,-0.074607424,-0.076753445,802.6374,805.05493,802.23444,810.696,782.0879,0.063842773,0.027832031,0.975219727,-0.373840332,-1.996307373,-0.672912598,1,1,1,1,1,97,,0.14195149,0.7690132
11:31.8,0.84869945,0.10947454,0.2856643,0.86258864,0.82112586,0.09000542,0.28374866,0.9663966,0.13977748,0.29784223,0.76698107,0.47697347,0.7084108,0.19817069,0.122348204,0.42221433,0.4626033,0.16820483,0.002947622,-0.094080806,780.87915,795.38464,800.6227,796.5934,844.1392,0.069458008,0.033874512,0.983764648,-0.224304199,-1.95892334,-1.667327881,1,1,1,1,1,97,,0.122348204,0.7084108
11:32.8,0.33469734,0.022078328,-0.049573757,0.8417263,0.32335207,-0.11610488,-0.095043026,0.30151817,0.746345,0.015137298,0.32725346,0.770525,0.5341101,0.30654326,0.12986888,0.34332806,0.47109294,0.18394737,-0.020913698,0.021389307,800.6227,799.81683,796.1905,800.2198,715.2015,0.064697266,0.038330078,0.976928711,-0.216827393,-1.241149902,-0.418701172,1,1,1,1,1,97,,0.12986888,0.5341101
02-03-24 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,
